Fuel_Type,Year,Production,Consumption,Import,Export
Coal,1973,1726.5,1183.8,0.0,836.9
Coal,1974,1970.3,1251.1,0.0,950.3
Coal,1975,1947.6,1235.9,0.0,892.7
Coal,1976,2145.8,1291.6,0.0,1038.4
Coal,1977,2200.0,1308.1,0.0,1111.0
Coal,1978,2229.2,1359.7,0.0,1118.7
Coal,1979,2285.9,1404.5,0.0,1258.6
Coal,1980,2637.3,1429.1,0.0,1377.2
Coal,1981,2798.2,1452.1,0.0,1371.4
Coal,1982,2987.8,1370.7,0.0,1608.4
Coal,1983,3143.1,1399.5,0.0,1913.9
Coal,1984,3572.7,1506.5,0.0,2398.0
Coal,1985,3946.8,1503.6,0.0,2558.7
Coal,1986,4360.1,1585.5,0.0,2718.2
Coal,1987,4035.4,1640.7,0.0,2910.4
Coal,1988,4426.2,1769.2,0.0,2834.4
Coal,1989,4684.7,1764.1,0.0,2965.6
Coal,1990,4880.1,1800.4,0.0,3217.0
Coal,1991,5177.4,1846.4,0.0,3502.2
Coal,1992,5244.8,1838.2,0.0,3660.6
Coal,1993,5260.8,1871.7,0.0,3668.1
Coal,1994,5665.2,1923.5,0.0,3882.8
Coal,1995,5746.4,1977.4,0.0,3947.7
Coal,1996,6139.1,2054.8,0.0,4147.2
Coal,1997,6616.5,2168.3,0.0,4612.9
Coal,1998,6662.9,2210.8,0.0,4805.8
Coal,1999,7046.1,2220.4,0.0,5013.4
Coal,2000,7548.6,2231.9,0.0,5517.6
Coal,2001,7951.8,2275.6,0.0,5630.3
Coal,2002,8019.2,2290.2,2.1,5934.2
Coal,2003,8261.9,2375.3,1.0,6228.2
Coal,2004,8792.1,2420.4,3.1,6614.7
Coal,2005,8886.0,2458.6,4.2,6611.6
Coal,2006,9360.1,2474.4,3.4,6951.7
Coal,2007,9383.5,2458.1,2.0,7157.2
Coal,2008,9760.8,2470.5,1.4,7384.4
Coal,2009,10518.7,2370.1,1.3,8304.6
Coal,2010,9981.3,2275.5,4.7,8055.0
Coal,2011,10629.9,2207.3,2.0,8516.1
Coal,2012,11546.3,2062.1,0.7,9475.8
Coal,2013,12467.6,1966.9,1.2,10577.5
Coal,2014,12893.1,2011.4,2.9,11067.2
Coal,2015,12726.0,2058.6,1.7,11001.1
Coal,2016,12746.0,2033.5,2.6,10685.8
Coal,2017,12843.4,1944.7,5.7,10760.6
Coal,2018,13038.1,1889.8,4.6,11131.3
Coal,2019,12742.2,1802.4,7.4,11061.8
Coal,2020,11789.7,1756.3,3.6,10323.6
Coal,2021,11631.3,1674.1,2.6,10173.5
Coal,2022,11184.4,1605.8,5.1,9606.1
Oil,1973,858.1,1230.1,405.2,0.0
Oil,1974,856.0,1231.9,393.6,0.0
Oil,1975,883.3,1233.7,375.5,0.0
Oil,1976,910.1,1289.8,391.5,0.0
Oil,1977,938.7,1331.1,434.0,7.8
Oil,1978,921.2,1320.4,402.8,13.7
Oil,1979,877.3,1312.8,435.9,4.7
Oil,1980,854.4,1261.7,443.1,3.2
Oil,1981,828.3,1276.1,482.2,1.6
Oil,1982,816.6,1235.6,455.9,2.3
Oil,1983,992.6,1260.9,331.0,39.1
Oil,1984,1145.4,1267.5,282.3,215.3
Oil,1985,1174.1,1247.2,239.4,186.9
Oil,1986,1165.6,1233.4,298.9,211.0
Oil,1987,1156.9,1321.6,370.6,238.8
Oil,1988,1045.4,1345.7,466.6,181.9
Oil,1989,1183.8,1386.3,449.0,266.5
Oil,1990,1182.3,1421.4,518.2,326.4
Oil,1991,1158.4,1440.0,593.3,332.0
Oil,1992,1136.0,1494.8,751.6,373.6
Oil,1993,1071.0,1518.1,785.4,352.9
Oil,1994,1154.0,1562.3,798.7,423.5
Oil,1995,1119.3,1623.5,917.3,403.3
Oil,1996,1148.8,1648.0,958.5,458.8
Oil,1997,1256.6,1671.5,968.1,547.0
Oil,1998,1032.2,1675.8,1150.5,528.8
Oil,1999,1386.2,1672.8,1042.4,772.5
Oil,2000,1432.1,1702.0,1019.5,889.6
Oil,2001,1335.7,1674.8,1056.8,885.6
Oil,2002,1232.8,1629.5,1082.0,775.2
Oil,2003,1031.4,1531.0,909.4,648.5
Oil,2004,938.8,1543.7,1008.4,582.1
Oil,2005,856.6,1409.2,945.0,482.0
Oil,2006,1031.1,1505.7,980.9,590.7
Oil,2007,957.2,1464.6,1014.9,591.1
Oil,2008,1028.1,1480.7,940.5,613.7
Oil,2009,995.1,1437.9,1055.9,668.4
Oil,2010,946.6,1632.8,1229.7,726.0
Oil,2011,888.5,1557.5,1141.8,644.7
Oil,2012,784.9,1551.5,1142.4,583.2
Oil,2013,745.2,1450.2,1071.1,548.2
Oil,2014,705.3,1265.6,939.4,560.6
Oil,2015,680.6,1105.7,764.0,514.0
Oil,2016,596.9,1073.1,788.0,473.7
Oil,2017,572.2,1133.6,866.5,482.3
Oil,2018,676.9,1130.4,841.5,545.4
Oil,2019,798.5,1014.5,695.7,625.6
Oil,2020,718.4,844.2,547.0,593.0
Oil,2021,723.0,600.4,386.6,622.9
Oil,2022,625.8,572.5,362.4,604.4
LPG,1973,53.8,20.4,0.0,53.0
LPG,1974,57.6,21.3,0.0,53.4
LPG,1975,59.1,23.7,0.0,52.1
LPG,1976,67.0,23.9,0.0,60.2
LPG,1977,77.3,23.5,0.0,76.5
LPG,1978,84.0,24.6,0.0,80.9
LPG,1979,82.5,28.0,0.0,73.8
LPG,1980,79.1,30.3,0.0,68.6
LPG,1981,80.4,32.0,0.0,70.0
LPG,1982,77.1,32.5,0.0,62.3
LPG,1983,83.0,39.0,0.2,75.6
LPG,1984,102.4,50.2,0.1,69.4
LPG,1985,106.4,56.5,0.0,78.9
LPG,1986,104.1,57.6,1.0,70.9
LPG,1987,104.0,65.8,1.1,63.6
LPG,1988,99.7,69.7,1.0,57.7
LPG,1989,100.3,78.5,2.2,52.6
LPG,1990,94.0,82.5,0.9,40.0
LPG,1991,95.1,88.5,1.2,41.6
